"2019-12-06","4772807","201","ZR900F","13272-2786-100","13272-2786-100DW","600","10","200","2000","201912A"
"2019-12-09","4772808","201","ZR900F","13272-2786-100","13272-2786-100DW","600","10","100","1000","201912A"
"2019-12-10","4772809","201","ZR900F","13272-2786-100","13272-2786-100DW","600","10","200","2000","201912A"
"2019-12-11","4772810","201","ZR900F","13272-2786-100","13272-2786-100DW","600","10","100","1000","201912A"
"2019-12-12","4772811","201","ZR900F","13272-2786-100","13272-2786-100DW","600","10","200","2000","201912A"
"2019-12-13","4772812","201","ZR900F","13272-2786-100","13272-2786-100DW","600","10","100","1000","201912A"
"2019-12-02","4772803","451","ZR900F","13272-2786-100","13272-2786-100OIL","300","7","200","1500","201912A"
"2019-12-03","4772804","451","ZR900F","13272-2786-100","13272-2786-100OIL","300","7","100","750","201912A"
"2019-12-04","4772805","451","ZR900F","13272-2786-100","13272-2786-100OIL","300","7","100","750","201912A"
"2019-12-05","4772806","451","ZR900F","13272-2786-100","13272-2786-100OIL","300","7","100","750","201912A"
"2019-12-06","4772807","451","ZR900F","13272-2786-100","13272-2786-100OIL","300","7","200","1500","201912A"
"2019-12-09","4772808","451","ZR900F","13272-2786-100","13272-2786-100OIL","300","7","100","750","201912A"
"2019-12-10","4772809","451","ZR900F","13272-2786-100","13272-2786-100OIL","300","7","200","1500","201912A"
"2019-12-11","4772810","451","ZR900F","13272-2786-100","13272-2786-100OIL","300","7","100","750","201912A"
"2019-12-12","4772811","451","ZR900F","13272-2786-100","13272-2786-100OIL","300","7","200","1500","201912A"
"2019-12-13","4772812","451","ZR900F","13272-2786-100","13272-2786-100OIL","300","7","100","750","201912A"
"2019-12-02","4772803","201","ZR900F","13272-2786-100","13272-2786-100","600","10","200","2000","201912A"
"2019-12-03","4772804","201","ZR900F","13272-2786-100","13272-2786-100","600","10","100","1000","201912A"
"2019-12-04","4772805","201","ZR900F","13272-2786-100","13272-2786-100","600","10","100","1000","201912A"
"2019-12-05","4772806","201","ZR900F","13272-2786-100","13272-2786-100","600","10","100","1000","201912A"
"2019-12-06","4772807","201","ZR900F","13272-2786-100","13272-2786-100","600","10","200","2000","201912A"
"2019-12-09","4772808","201","ZR900F","13272-2786-100","13272-2786-100","600","10","100","1000","201912A"
"2019-12-10","4772809","201","ZR900F","13272-2786-100","13272-2786-100","600","10","200","2000","201912A"
"2019-12-11","4772810","201","ZR900F","13272-2786-100","13272-2786-100","600","10","100","1000","201912A"
"2019-12-12","4772811","201","ZR900F","13272-2786-100","13272-2786-100","600","10","200","2000","201912A"
"2019-12-13","4772812","201","ZR900F","13272-2786-100","13272-2786-100","600","10","100","1000","201912A"
"2019-12-02","4772843","151","ZXT02K","13272-2869","13272-2869BL","300","10","50","500","201912A"
"2019-12-03","4772844","151","ZXT02K","13272-2869","13272-2869BL","300","10","50","500","201912A"
"2019-12-04","4772845","151","ZXT02K","13272-2869","13272-2869BL","300","10","100","1000","201912A"
"2019-12-05","4772846","151","ZXT02K","13272-2869","13272-2869BL","300","10","100","1000","201912A"
"2019-12-06","4772847","151","ZXT02K","13272-2869","13272-2869BL","300","10","50","500","201912A"
"2019-12-09","4772848","151","ZXT02K","13272-2869","13272-2869BL","300","10","100","1000","201912A"
"2019-12-10","4772849","151","ZXT02K","13272-2869","13272-2869BL","300","10","100","1000","201912A"
"2019-12-11","4772850","151","ZXT02K","13272-2869","13272-2869BL","300","10","100","1000","201912A"
"2019-12-12","4772851","151","ZXT02K","13272-2869","13272-2869BL","300","10","100","1000","201912A"
"2019-12-13","4772852","151","ZXT02K","13272-2869","13272-2869BL","300","10","50","500","201912A"
"2019-12-14","4772853","151","ZXT02K","13272-2869","13272-2869BL","300","10","100","1000","201912A"
"2019-12-02","4772843","300","ZXT02K","13272-2869","13272-2869DW","600","20","50","1000","201912A"
"2019-12-03","4772844","300","ZXT02K","13272-2869","13272-2869DW","600","20","50","1000","201912A"
